rating,title,year,id,imdbid
0,Roundhay Garden Scene,1888,8040,392728
0,Pauvre Pierrot,1892,5433,3
0,"Execution of Mary, Queen of Scots, The",1895,6200,132134
0,Tables Turned on the Gardener,1895,5444,14
0,"Arrival of a Train, The",1896,6199,12
0,Une nuit terrible,1896,5406,131
0,La fee aux choux,1896,5445,223341
0,"House of the Devil, The",1896,4982,91
0,"Temptation of St. Anthony, The",1898,5411,224240
0,"Astronomer&#39;s Dream; or, The Man in the Moon, The",1898,5410,211
0,Four Heads Are Better Than One,1898,4978,135696
0,A Turn of the Century Illusionist,1899,4994,246
3,Cinderella,1899,5914,230
0,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900,4344,272
0,Sherlock Holmes Baffled,1900,1594,291476
0,Grandma&#39;s Reading Glass,1900,4343,304
0,"One-Man Band, The",1900,4993,135453
0,Grandma Threading Her Needle,1900,5069,377995
0,Hamlet ( Le Duel d&#39;Hamlet),1900,4346,306
0,Let Me Dream Again,1900,5438,313
0,"Doctor and the Monkey, The",1900,5446,227438
0,"Enchanted Drawing, The",1900,4271,300
0,"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900,5072,230746
0,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),1900,4345,257654
0,Bluebeard,1901,5500,131934
0,Reve et realite,1901,5437,258104
0,L&#39;homme a la tete en caoutchouc,1901,4995,359
0,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",1902,5432,367177
0,Gulliver&#39;s Travels,1902,5431,229024
0,Mephistopheles&#39; School of Magic,1902,5443,413
0,Le voyage dans la lune,1902,1252,417
0,"Music Lover, The",1903,5063,455
0,"Great Train Robbery, The",1903,1319,439
0,"Enchanted Well, The",1903,5683,189498
0,"Infernal Boiling Pot, The",1903,5002,135180
0,"Monster, The",1903,5064,223755
0,"Living Playing Cards, The",1904,5404,135179
0,"Cook in Trouble, The",1904,5224,215664
0,Le voyage a travers l&#39;impossible,1904,6135,499
0,"Untamable Whiskers, The",1904,5601,135631
0,"Scheming Gambler&#39;s Paradise, The",1905,5003,135690
0,"Black Imp, The",1905,5602,215575
0,"Mysterious Retort, The",1906,5024,216016
0,"Hilarious Posters, The",1906,5603,135122
0,"400 Tricks of the Devil, The",1906,5684,567
0,Humorous Phases of Funny Faces,1906,5435,554
0,"Consequence of Feminism, The",1906,7215,1260944
0,A Funny Shave,1906,6206,449172
1,"Story of the Kelly Gang, The",1906,1349,574
0,Good Glue Sticks,1907,5615,215817
0,"Eclipse: Courtship of the Sun and Moon, The",1907,5223,215737
0,Unusual Cooking,1908,6231,1802750
0,"Devilish Tenant, The",1909,5635,127948
1,Le barometre de la fidelite,1909,6211,277596
2,"Princess Nicotine; or, The Smoke Fairy",1909,4409,1009
0,Mobilier fidele,1910,4983,486978
3,Tilly the Tomboy Visits the Poor,1910,1464,232821
0,A Trip to Mars,1910,5685,1515725
0,"Invaders, The",1912,2005,2281
0,Max and the Donkey,1912,5357,277865
2,Cleopatra,1912,2003,2101
0,Suspense,1913,5915,3424
0,"Voyage of the Bourrichon Family, The",1913,5364,3512
2,A Florida Enchantment,1914,4457,3973
2,"Birth of a Nation, The",1915,1258,4972
0,Intolerance: Love&#39;s Struggle Throughout the Ages,1916,5944,6864
3,Gretchen the Greenhorn,1916,2008,6745
0,"Vagabond, The",1916,5368,7507
3,Snow White,1916,7004,7361
3,Lady Windermere&#39;s Fan,1916,2014,279914
3,A Tale of Two Cities,1917,1981,8652
3,Rebecca of Sunnybrook Farm,1917,1993,8499
0,A Romance of the Redwoods,1917,2015,8519
2,"Raffles, the Amateur Cracksman",1917,2019,8489
3,"Poor Little Rich Girl, The",1917,1994,8443
3,Ich mochte kein Mann sein,1918,7108,10281
3,Tarzan of the Apes,1918,1996,9682
3,Stella Maris,1918,2007,9652
0,Are Crooks Dishonest?,1918,5441,8844
0,Broken Blossoms or The Yellow Man and the Girl,1919,2588,9968
3,When the Clouds Roll by,1919,2018,10879
3,Within Our Gates,1920,5948,11870
0,"Cabinet of Dr. Caligari, The",1920,1306,10323
3,Pollyanna,1920,1991,11588
3,Orphans of the Storm,1921,1263,12532
2,K&ouml;rkarlen (The Phantom Carriage),1921,5898,12364
0,"Kid, The",1921,3945,12349
3,"Blot, The",1921,4204,11979
2,"Phantom, The",1922,1631,13496
1,"Man from Beyond, The",1922,2001,13367
2,"Nosferatu, eine Symphonie des Grauens",1922,1307,13442
0,"Paleface, The",1922,5361,12543
1,Nanook of the North,1922,5901,13427
2,Nathan der Weise,1922,1778,13428
3,H&auml;xan: Witchcraft Through the Ages,1922,3800,13257
3,Foolish Wives,1922,5958,13140
3,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,5967,13086
0,Our Hospitality,1923,5949,14341
0,Safety Last!,1923,1961,14429
0,Why Worry?,1923,1967,14611
3,La souriante Madame Beudet,1923,5888,13626
2,"Silent Command, The",1923,1998,14469
0,Help!,1924,6209,13845
0,"Navigator, The",1924,2009,15163
0,Wild Oranges,1924,1960,15498
0,Girl Shy,1924,2016,14945
3,Manhandled,1924,2020,15116
2,Kriemhild&#39;s Revenge,1924,1338,15174
0,Sherlock Jr.,1924,2011,15324
2,Die Nibelungen,1924,1337,15175
3,Greed,1924,8458,15881
0,"Thief of Bagdad, The",1924,1264,15400
0,"Great White Silence, The",1924,2413,1764657
0,Stachka,1925,5991,15361
0,"Freshman, The",1925,2012,15841
2,"Phantom of the Opera, The",1925,1305,16220
0,"Gold Rush, The",1925,1309,15864
2,"Big Parade, The",1925,5962,15624
2,"Lost World, The",1925,5514,16039
0,Go West,1925,1978,15863
0,Seven Chances,1925,3077,16332
0,Battleship Potemkin,1925,1308,15648
1,Die Abenteuer des Prinzen Achmed,1926,5974,15532
0,"General, The",1926,1310,17925
1,"Temptress, The",1926,1334,17449
3,So&#39;s Your Old Man,1926,3217,17410
