Year,Movie_Title,New ROI,Genre1_Tag_Female,Genre1_Tag_Male,Genre2_Tag_Female,Genre2_Tag_Male,Genre3_Tag_Female,Genre3_Tag_Male,IMDB_Rating,#_of_Female_Cast,#_of_Male_Cast,#_of_Female_Dialogue,#_of_Male_Dialogue,#_of_Female_Crew,#_of_Male_Crew,Sentiment_Female,Sentiment_Male,Female_Male_Dialogues_Ratio,noun_count_male,noun_count_female,verb_count_male,verb_count_female,adjective_count_male,adjective_count_female,labels
1999,10 things i hate about you,2.342385375,0.099729545,0.114049976,0.127355717,0.130247457,0,0,6.9,5,7,295,374,11,26,0.027764407,0.026287433,2,2.441025641,2.080168776,2.584615385,2.61814346,0.615384615,0.580168776,1
1968,2001: a space odyssey,5.542857143,0.140717806,0.107436311,0.126418838,0.143353965,0.086335731,0.109145543,8.4,2,11,17,255,2,17,0.244723529,0.141933333,2,2.289915966,2.058823529,2.407563025,1.911764706,0.579831933,0.441176471,2
1982,48 hrs.,5.572375667,0.109943473,0.106252654,0.121080887,0.130146581,0.137316857,0.13876748,6.9,7,9,109,469,1,14,-0.026442202,0.002866098,2,2.313207547,2.479166667,2.562264151,2.875,0.586792453,0.645833333,0
1999,8mm,1.415467475,0.1395634,0.135962398,0.129552903,0.14426346,0.057487455,0.074767077,6.3,3,12,40,544,15,62,-0.09219,0.010540441,2,2.150579151,2.454545455,2.528957529,2.666666667,0.55984556,0.545454545,3
1988,a nightmare on elm street 4: the dream master,9.357142857,0.178377797,0.189375397,0.173641283,0.171361267,0.087689181,0.091099627,5.2,5,3,91,64,3,12,-0.064149451,-0.044042188,1,1.894736842,2.102941176,2.315789474,2.375,0.263157895,0.485294118,2
1997,air force one,2.707722459,0.088082839,0.118186338,0.093495305,0.09417815,0.063871678,0.06865092,6.3,5,18,87,281,32,68,0.033595402,0.013839146,2,2.371428571,2.159090909,2.625,2.068181818,0.585714286,0.454545455,2
1980,airplane!,22.84386829,0.098790625,0.111615487,0.11388216,0.135850382,0,0,7.8,8,12,84,152,4,26,0.09267381,0.065903289,2,2.161616162,2.562043796,2.04040404,2.591240876,0.444444444,0.591240876,2
1988,alien nation,1.009690438,0.135681723,0.139515225,0.10373458,0.097158344,0.120518387,0.108706059,6.1,3,10,30,287,10,27,0.13621,0.030714634,2,2.419928826,1.833333333,2.466192171,1.944444444,0.59430605,0.638888889,0
1986,aliens,8.908997568,0.106838092,0.113796437,0.106597073,0.108708877,0.064757194,0.079730335,8.5,3,10,174,185,7,31,-0.001855172,0.042548108,2,2.102661597,2.364583333,2.596958175,2.302083333,0.558935361,0.59375,2
1984,amadeus,1.8873905,0.076279835,0.090672972,0.091476927,0.107834082,0.127344707,0.146188135,8.4,4,24,160,847,6,22,0.039080625,0.122046399,2,2.185185185,2.206557377,2.472934473,2.344262295,0.53988604,0.603278689,3
1981,an american werewolf in london,2.1973249,0.130682175,0.152063431,0.11737062,0.12746549,0,0,7.5,6,9,153,425,3,12,0.014196078,-0.022654118,2,2.285245902,2.245421245,2.508196721,2.388278388,0.567213115,0.564102564,0
2001,american outlaws,-0.609173914,0.083267672,0.099348922,0.107635157,0.109893566,0,0,5.7,5,16,70,599,4,7,0.043877143,-0.00166611,2,2.30408472,0.875,2.650529501,1.375,0.537065053,0.25,3
2000,american psycho,3.895223429,0.076892531,0.083608309,0.051590781,0.057077007,0,0,7.4,8,9,163,515,22,37,0.071225767,0.035935922,2,2.221238938,0,2.364306785,0,0.474926254,0,3
2001,antitrust,-0.393479667,0.08785295,0.097164566,0.060449038,0.069172404,0,0,6,4,12,148,378,8,13,0.008882432,0.080747619,2,2.22265625,2.07037037,2.484375,2.574074074,0.5546875,0.611111111,0
