,Movie_Number,Movie_Name,Year_of_Release,IMDB_Rating,Number_of_Votes,Genres,rating,year,id,imdbid,noun_count_male,noun_count_female,verb_count_male,verb_count_female,adjective_count_male,adjective_count_female
0,m0,10 things i hate about you,1999,6.9,62847,"['comedy', 'romance']",3,1999,374,147800.0,2.44102564103,2.08016877637,2.58461538462,2.61814345992,0.615384615385,0.580168776371
1,m3,2001: a space odyssey,1968,8.4,163227,"['adventure', 'mystery', 'sci-fi']",0,1968,919,62622.0,2.28991596639,2.05882352941,2.40756302521,1.91176470588,0.579831932773,0.441176470588
2,m4,48 hrs.,1982,6.9,22289,"['action', 'comedy', 'crime', 'drama', 'thriller']",2,1982,5355,83511.0,2.31320754717,2.47916666667,2.56226415094,2.875,0.58679245283,0.645833333333
3,m6,8mm,1999,6.3,48212,"['crime', 'mystery', 'thriller']",1,1999,146,134273.0,2.15057915058,2.45454545455,2.52895752896,2.66666666667,0.559845559846,0.545454545455
4,m7,a nightmare on elm street 4: the dream master,1988,5.2,13590,"['fantasy', 'horror', 'thriller']",3,1988,6020,95742.0,1.89473684211,2.10294117647,2.31578947368,2.375,0.263157894737,0.485294117647
5,m11,air force one,1997,6.3,61978,"['action', 'drama', 'thriller']",1,1997,1068,118571.0,2.37142857143,2.15909090909,2.625,2.06818181818,0.585714285714,0.454545454545
6,m13,airplane!,1980,7.8,57692,"['comedy', 'romance']",3,1980,873,80339.0,2.16161616162,2.56204379562,2.0404040404,2.59124087591,0.444444444444,0.591240875912
7,m14,alien nation,1988,6.1,5590,"['crime', 'drama', 'sci-fi', 'thriller']",1,1988,2784,94631.0,2.41992882562,1.83333333333,2.46619217082,1.94444444444,0.594306049822,0.638888888889
8,m15,aliens,1986,8.5,173518,"['action', 'sci-fi', 'thriller']",3,1986,283,90605.0,2.10266159696,2.36458333333,2.5969581749,2.30208333333,0.558935361217,0.59375
9,m16,amadeus,1984,8.4,99138,"['biography', 'drama', 'music']",3,1984,613,86879.0,2.18518518519,2.20655737705,2.47293447293,2.34426229508,0.539886039886,0.603278688525
10,m17,an american werewolf in london,1981,7.5,24443,"['horror', 'romance']",2,1981,2873,82010.0,2.28524590164,2.24542124542,2.50819672131,2.38827838828,0.567213114754,0.564102564103
11,m19,american outlaws,2001,5.7,7425,"['action', 'western']",1,2001,1112,244000.0,2.30408472012,0.875,2.65052950076,1.375,0.53706505295,0.25
12,m20,american psycho,2000,7.4,101357,"['drama', 'thriller']",1,2000,64,144084.0,2.22123893805,0.0,2.36430678466,0.0,0.474926253687,0.0
13,m21,antitrust,2001,6.0,16453,"['drama', 'thriller']",2,2001,154,218817.0,2.22265625,2.07037037037,2.484375,2.57407407407,0.5546875,0.611111111111
14,m22,austin powers: international man of mystery,1997,7.1,75240,"['action', 'adventure', 'comedy', 'crime']",2,1997,5,118655.0,2.40178571429,2.17142857143,2.41741071429,1.94285714286,0.629464285714,0.457142857143
