Movie_Number,Movie_Name,Year_of_Release,IMDB_Rating,Number_of_Votes,Genres,rating,year,id,imdbid
m0,10 things i hate about you,1999,6.9,62847,"['comedy', 'romance']",3,1999,374,147800.0
m3,2001: a space odyssey,1968,8.4,163227,"['adventure', 'mystery', 'sci-fi']",0,1968,919,62622.0
m4,48 hrs.,1982,6.9,22289,"['action', 'comedy', 'crime', 'drama', 'thriller']",2,1982,5355,83511.0
m6,8mm,1999,6.3,48212,"['crime', 'mystery', 'thriller']",1,1999,146,134273.0
m7,a nightmare on elm street 4: the dream master,1988,5.2,13590,"['fantasy', 'horror', 'thriller']",3,1988,6020,95742.0
m11,air force one,1997,6.3,61978,"['action', 'drama', 'thriller']",1,1997,1068,118571.0
m13,airplane!,1980,7.8,57692,"['comedy', 'romance']",3,1980,873,80339.0
m14,alien nation,1988,6.1,5590,"['crime', 'drama', 'sci-fi', 'thriller']",1,1988,2784,94631.0
m15,aliens,1986,8.5,173518,"['action', 'sci-fi', 'thriller']",3,1986,283,90605.0
m16,amadeus,1984,8.4,99138,"['biography', 'drama', 'music']",3,1984,613,86879.0
m17,an american werewolf in london,1981,7.5,24443,"['horror', 'romance']",2,1981,2873,82010.0
m19,american outlaws,2001,5.7,7425,"['action', 'western']",1,2001,1112,244000.0
m20,american psycho,2000,7.4,101357,"['drama', 'thriller']",1,2000,64,144084.0
m21,antitrust,2001,6.0,16453,"['drama', 'thriller']",2,2001,154,218817.0
m22,austin powers: international man of mystery,1997,7.1,75240,"['action', 'adventure', 'comedy', 'crime']",2,1997,5,118655.0
m24,bachelor party,1984,5.9,14050,"['comedy', 'romance']",3,1984,6309,86927.0
m28,barry lyndon,1975,8.1,40622,"['drama', 'romance', 'war']",1,1975,2317,72684.0
m29,basic,2003,6.3,26295,"['crime', 'drama', 'mystery', 'thriller']",3,2003,5567,264395.0
m30,big fish,2003,8.1,144264,"['adventure', 'drama', 'fantasy']",1,2003,2402,319061.0
m34,blade runner,1982,8.3,188735,"['drama', 'sci-fi', 'thriller']",1,1982,234,83658.0
m35,blast from the past,1999,6.4,23489,"['comedy', 'drama', 'romance']",3,1999,5342,124298.0
m36,blue velvet,1986,7.8,54576,"['crime', 'mystery', 'thriller']",1,1986,2662,90756.0
m40,braveheart,1995,8.4,245652,"['action', 'biography', 'drama', 'history', 'war']",2,1995,205,112573.0
m42,casablanca,1942,8.8,170874,"['drama', 'romance', 'war']",1,1942,1076,34583.0
m43,cast away,2000,7.5,104477,"['adventure', 'drama']",2,2000,3795,162222.0
m47,dark star,1974,6.5,8303,"['comedy', 'sci-fi', 'thriller']",0,1974,1814,69945.0
m50,donnie darko,2001,8.3,215194,"['drama', 'mystery', 'sci-fi']",3,2001,887,246578.0
m51,drop dead gorgeous,1999,6.3,16417,"['comedy', 'adult']",3,1999,1844,157503.0
m52,duck soup,1933,8.1,27112,"['comedy', 'musical']",1,1933,5185,23969.0
m55,eternal sunshine of the spotless mind,2004,8.5,224838,"['drama', 'romance', 'sci-fi']",2,2004,133,338013.0
m56,even cowgirls get the blues,1993,4.0,3947,"['comedy', 'drama', 'romance', 'western']",3,1993,1790,106834.0
m57,event horizon,1997,6.4,45497,"['horror', 'mystery', 'mystery', 'sci-fi', 'sci-fi']",3,1997,662,119081.0
m58,fantastic four,2005,5.7,72581,"['action', 'adventure', 'fantasy', 'sci-fi', 'fantasy']",1,2005,2541,120667.0
m58,fantastic four,2005,5.7,72581,"['action', 'adventure', 'fantasy', 'sci-fi', 'fantasy']",0,2015,6392,1502712.0
m59,fast times at ridgemont high,1982,7.2,31710,"['comedy', 'drama', 'romance']",2,1982,1934,83929.0
m60,fear and loathing in las vegas,1998,7.6,82748,"['drama', 'fantasy']",1,1998,506,120669.0
m62,frances,1982,7.2,2756,"['biography', 'drama']",3,1982,4844,83967.0
m63,frankenstein,1931,8.0,23522,"['drama', 'horror', 'sci-fi']",1,1931,1317,21884.0
m64,friday the 13th,2009,5.6,27499,['horror'],3,1980,4569,80761.0
m64,friday the 13th,2009,5.6,27499,['horror'],2,2009,4570,758746.0
m65,from dusk till dawn,1996,7.1,81559,"['action', 'crime', 'horror', 'thriller']",1,1996,448,116367.0
m66,g.i. jane,1997,5.6,24068,"['action', 'drama']",3,1997,524,119173.0
m67,godzilla,1998,4.9,60310,"['action', 'horror', 'sci-fi', 'thriller']",3,1998,2238,120685.0
m67,godzilla,1998,4.9,60310,"['action', 'horror', 'sci-fi', 'thriller']",2,2014,5466,831387.0
m68,galaxy quest,1999,7.2,53004,"['action', 'adventure', 'comedy', 'sci-fi']",1,1999,1053,177789.0
m72,ghost world,2001,7.7,43550,"['comedy', 'drama']",3,2001,226,162346.0
m74,ghostbusters ii,1989,6.1,45450,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi', 'action', 'adventure', 'comedy', 'sci-fi']",2,1989,1540,97428.0
m75,ghostbusters,1986,6.9,237,"['animation', 'comedy', 'fantasy', 'sci-fi', 'horror']",2,1984,376,87332.0
m75,ghostbusters,1986,6.9,237,"['animation', 'comedy', 'fantasy', 'sci-fi', 'horror']",3,2016,6977,1289401.0
m76,gladiator,2000,8.4,286067,"['action', 'adventure', 'drama']",0,2000,1163,172495.0
m78,grand hotel,1932,7.7,6088,"['drama', 'romance']",3,1932,1328,22958.0
m80,halloween h20: 20 years later,1998,5.4,22353,"['drama', 'horror', 'thriller']",3,1998,4709,120694.0
m84,harold and maude,1971,8.1,28689,"['comedy', 'romance']",3,1971,2159,67185.0
