,Character_Id,Character_Name,Movie_Number,Movie_Title,Gender,Position_in_Credits
0,u0,BIANCA,m0,10 things i hate about you,f,4
1,u1,BRUCE,m0,10 things i hate about you,?,?
2,u2,CAMERON,m0,10 things i hate about you,m,3
3,u3,CHASTITY,m0,10 things i hate about you,?,?
4,u4,JOEY,m0,10 things i hate about you,m,6
5,u5,KAT,m0,10 things i hate about you,f,2
6,u6,MANDELLA,m0,10 things i hate about you,f,7
7,u7,MICHAEL,m0,10 things i hate about you,m,5
8,u8,MISS PERKY,m0,10 things i hate about you,?,?
9,u9,PATRICK,m0,10 things i hate about you,m,1
10,u10,SHARON,m0,10 things i hate about you,?,?
11,u11,WALTER,m0,10 things i hate about you,m,9
12,u12,ALONSO,m1,1492: conquest of paradise,?,?
13,u13,AROJAZ,m1,1492: conquest of paradise,?,?
14,u14,BEATRIX,m1,1492: conquest of paradise,?,?
15,u15,BOBADILLA,m1,1492: conquest of paradise,?,?
16,u16,COLUMBUS,m1,1492: conquest of paradise,m,1
17,u17,FERNANDO,m1,1492: conquest of paradise,?,?
18,u18,ISABEL,m1,1492: conquest of paradise,?,?
19,u19,MARCHENA,m1,1492: conquest of paradise,m,6
20,u20,MENDEZ,m1,1492: conquest of paradise,?,?
21,u21,MOXICA,m1,1492: conquest of paradise,?,?
22,u22,PINZON,m1,1492: conquest of paradise,?,?
23,u23,SAILOR,m1,1492: conquest of paradise,?,?
24,u24,SANCHEZ,m1,1492: conquest of paradise,?,?
25,u25,UTAPAN,m1,1492: conquest of paradise,?,?
26,u26,CUTLER,m2,15 minutes,m,?
27,u27,DAPHNE,m2,15 minutes,f,8
28,u28,DUFFY,m2,15 minutes,?,?
29,u29,EDDIE,m2,15 minutes,m,1
30,u30,EMIL,m2,15 minutes,m,6
31,u31,HAWKINS,m2,15 minutes,?,?
32,u32,HONEY,m2,15 minutes,?,?
33,u33,IMMIGRATION OFFICER,m2,15 minutes,?,?
34,u34,JORDY,m2,15 minutes,m,2
35,u35,KORFIN,m2,15 minutes,m,9
36,u36,LEON,m2,15 minutes,?,?
37,u37,MAGGIE,m2,15 minutes,?,?
38,u38,MAX,m2,15 minutes,?,?
39,u39,MILOS,m2,15 minutes,?,?
40,u40,MUGGER,m2,15 minutes,?,?
41,u41,NICOLETTE,m2,15 minutes,f,5
42,u42,OLEG,m2,15 minutes,m,7
43,u43,ROBERT HAWKINS,m2,15 minutes,?,?
44,u44,ROSE,m2,15 minutes,?,?
45,u45,SECONDARY OFFICER,m2,15 minutes,?,?
46,u46,STEPHEN GELLER,m2,15 minutes,?,?
47,u47,TOMMY,m2,15 minutes,?,?
48,u48,VENDOR,m2,15 minutes,?,?
49,u49,B20,m3,2001: a space odyssey,?,?
50,u50,BOWMAN,m3,2001: a space odyssey,m,1
51,u51,C12,m3,2001: a space odyssey,?,?
52,u52,CHILD,m3,2001: a space odyssey,?,?
53,u53,CO-PILOT,m3,2001: a space odyssey,?,?
54,u54,ELENA,m3,2001: a space odyssey,?,?
55,u55,FLOYD,m3,2001: a space odyssey,?,?
56,u56,HAL,m3,2001: a space odyssey,m,7
57,u57,MICHAELS,m3,2001: a space odyssey,?,?
58,u58,MILLER,m3,2001: a space odyssey,?,?
59,u59,PILOT,m3,2001: a space odyssey,?,?
60,u60,POOLE,m3,2001: a space odyssey,m,2
61,u61,SMYSLOV,m3,2001: a space odyssey,?,?
62,u62,ATTENDANT,m4,48 hrs.,?,?
63,u63,BARTENDER,m4,48 hrs.,?,?
64,u64,BILLY,m4,48 hrs.,?,?
65,u65,CANDY,m4,48 hrs.,?,?
66,u66,CASEY,m4,48 hrs.,?,?
67,u67,CATES,m4,48 hrs.,m,1
68,u68,ELAINE,m4,48 hrs.,f,3
69,u69,GANZ,m4,48 hrs.,?,?
70,u70,HADEN,m4,48 hrs.,?,?
71,u71,HAMMOND,m4,48 hrs.,m,2
72,u72,HENRY,m4,48 hrs.,?,?
73,u73,KEHOE,m4,48 hrs.,?,?
