Movie_Number,Movie_Name,Year_of_Release,IMDB_Rating,Number_of_Votes,Genres
m0,10 things i hate about you,1999,6.9,62847,"['comedy', 'romance']"
m1,1492: conquest of paradise,1992,6.2,10421,"['adventure', 'biography', 'drama', 'history']"
m2,15 minutes,2001,6.1,25854,"['action', 'crime', 'drama', 'thriller']"
m3,2001: a space odyssey,1968,8.4,163227,"['adventure', 'mystery', 'sci-fi']"
m4,48 hrs.,1982,6.9,22289,"['action', 'comedy', 'crime', 'drama', 'thriller']"
m5,the fifth element,1997,7.5,133756,"['action', 'adventure', 'romance', 'sci-fi', 'thriller']"
m6,8mm,1999,6.3,48212,"['crime', 'mystery', 'thriller']"
m7,a nightmare on elm street 4: the dream master,1988,5.2,13590,"['fantasy', 'horror', 'thriller']"
m8,a nightmare on elm street: the dream child,1989,4.7,11092,"['fantasy', 'horror', 'thriller']"
m9,the atomic submarine,1959,4.9,513,"['sci-fi', 'thriller']"
m10,affliction,1997,6.9,7252,"['drama', 'mystery', 'thriller']"
m11,air force one,1997,6.3,61978,"['action', 'drama', 'thriller']"
m12,airplane ii: the sequel,1982,5.8,15210,"['comedy', 'romance', 'sci-fi']"
m13,airplane!,1980,7.8,57692,"['comedy', 'romance']"
m14,alien nation,1988,6.1,5590,"['crime', 'drama', 'sci-fi', 'thriller']"
m15,aliens,1986,8.5,173518,"['action', 'sci-fi', 'thriller']"
m16,amadeus,1984,8.4,99138,"['biography', 'drama', 'music']"
m17,an american werewolf in london,1981,7.5,24443,"['horror', 'romance']"
m18,american madness,1932,7.4,702,['drama']
m19,american outlaws,2001,5.7,7425,"['action', 'western']"
m20,american psycho,2000,7.4,101357,"['drama', 'thriller']"
m21,antitrust,2001,6.0,16453,"['drama', 'thriller']"
m22,austin powers: international man of mystery,1997,7.1,75240,"['action', 'adventure', 'comedy', 'crime']"
m23,the avengers,1998,3.4,21519,"['action', 'adventure', 'thriller']"
m24,bachelor party,1984,5.9,14050,"['comedy', 'romance']"
m25,backdraft,1991,6.6,28541,"['action', 'crime', 'drama', 'mystery', 'thriller']"
m26,bad lieutenant,1992,6.9,13908,"['crime', 'drama']"
m27,bamboozled,2000,6.3,5995,"['comedy', 'drama', 'music']"
m28,barry lyndon,1975,8.1,40622,"['drama', 'romance', 'war']"
m29,basic,2003,6.3,26295,"['crime', 'drama', 'mystery', 'thriller']"
m30,big fish,2003,8.1,144264,"['adventure', 'drama', 'fantasy']"
m31,birthday girl,2001,6.0,13497,"['comedy', 'crime', 'romance', 'thriller']"
m32,black snake moan,2006,7.1,28509,['drama']
m33,black rain,1989/I,6.4,16249,"['action', 'crime', 'drama', 'thriller']"
m34,blade runner,1982,8.3,188735,"['drama', 'sci-fi', 'thriller']"
m35,blast from the past,1999,6.4,23489,"['comedy', 'drama', 'romance']"
m36,blue velvet,1986,7.8,54576,"['crime', 'mystery', 'thriller']"
m37,the boondock saints,1999,7.8,87895,"['action', 'crime', 'drama', 'thriller']"
m38,bottle rocket,1996,7.2,22303,"['comedy', 'crime']"
m39,the bourne supremacy,2004,7.6,106349,"['action', 'adventure', 'mystery', 'thriller']"
m40,braveheart,1995,8.4,245652,"['action', 'biography', 'drama', 'history', 'war']"
m41,the butterfly effect,2004,7.8,104917,"['drama', 'mystery', 'sci-fi', 'thriller']"
m42,casablanca,1942,8.8,170874,"['drama', 'romance', 'war']"
m43,cast away,2000,7.5,104477,"['adventure', 'drama']"
m44,the cider house rules,1999,7.5,38836,"['drama', 'romance']"
m45,confidence,2003,6.8,17235,"['crime', 'thriller']"
m46,croupier,1998,7.2,9060,"['crime', 'drama']"
m47,dark star,1974,6.5,8303,"['comedy', 'sci-fi', 'thriller']"
m48,dark angel,1990,5.3,3452,"['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller']"
m49,detroit rock city,1999,6.5,14666,"['comedy', 'music']"
m50,donnie darko,2001,8.3,215194,"['drama', 'mystery', 'sci-fi']"
m51,drop dead gorgeous,1999,6.3,16417,"['comedy', 'adult']"
m52,duck soup,1933,8.1,27112,"['comedy', 'musical']"
m53,the elephant man,1980,8.4,59625,"['biography', 'drama', 'history']"
m54,erik the viking,1989,5.9,5889,"['comedy', 'adventure', 'fantasy']"
m55,eternal sunshine of the spotless mind,2004,8.5,224838,"['drama', 'romance', 'sci-fi']"
m56,even cowgirls get the blues,1993,4.0,3947,"['comedy', 'drama', 'romance', 'western']"
